% output_type: 'OUTPUT_TYPE_SUM'
% count: 2410
% sum: 5213.02

% time_sec throughput_kbps
1 0
2 0
3 0.064
4 59.912
5 106.776
6 43.84
7 43.84
8 43.84
9 43.84
10 43.84
11 43.84
12 43.84
13 43.84
14 43.84
15 43.84
16 43.84
17 43.84
18 43.84
19 43.84
20 43.84
21 43.84
22 43.84
23 43.84
24 43.84
25 43.84
26 43.84
27 43.84
28 43.84
29 43.84
30 43.84
31 43.84
32 43.84
33 43.84
34 43.84
35 43.84
36 43.84
37 43.84
38 43.84
39 43.84
40 43.84
41 43.84
42 43.84
43 43.84
44 43.84
45 43.84
46 43.84
47 43.84
48 43.84
49 43.84
50 43.84
51 43.84
52 43.84
53 43.84
54 43.84
55 43.84
56 43.84
57 43.84
58 43.84
59 43.84
60 43.84
61 43.84
62 43.84
63 43.84
64 43.84
65 43.84
66 43.84
67 43.84
68 43.84
69 43.84
70 43.84
71 43.84
72 43.84
73 43.84
74 43.84
75 17.6
76 74.752
77 43.84
78 43.84
79 43.84
80 43.84
81 43.84
82 43.84
83 43.84
84 43.84
85 43.84
86 43.84
87 43.84
88 43.84
89 43.84
90 43.84
91 43.84
92 43.84
93 43.84
94 43.84
95 43.84
96 43.84
97 43.84
98 43.84
99 43.84
100 43.84
101 43.84
102 43.84
103 43.84
104 43.84
105 43.84
106 43.84
107 43.84
108 43.84
109 43.84
110 43.84
111 43.84
112 43.84
113 43.84
114 43.84
115 43.84
116 43.84
117 43.84
118 43.84
119 43.84

